categoria,url,fecha,info,paginas
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/009250-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/018240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/005260-1.pdf,2026-06-13,,104
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/039240-1.pdf,2026-06-13,,232
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/035240-1.pdf,2026-06-13,,2
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/034260-1.pdf,2026-06-13,,153
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/028260-1.pdf,2026-06-13,,223
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/028230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/037250-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/043230-1.pdf,2026-06-13,,212
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/003230-3.pdf,2026-06-13,,2
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/007230-1.pdf,2026-06-13,,127
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/020250-1.pdf,2026-06-13,,12
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/021230-1.pdf,2026-06-13,,96
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/030240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/071230-2.pdf,2026-06-13,,3
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/063230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/036230-4.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/003260-1.pdf,2026-06-13,,51
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/009250-3.pdf,2026-06-13,,16
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/026230-1.pdf,2026-06-13,,3
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/028250-1.pdf,2026-06-13,,5
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/008240-1.pdf,2026-06-13,,198
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/032250-1.pdf,2026-06-13,,120
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/016260-1.pdf,2026-06-13,,91
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/061230-3.pdf,2026-06-13,,14
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/039220-3.pdf,2026-06-13,,3
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/018240-1.pdf,2026-06-13,,6
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/012240-2.pdf,2026-06-13,,9
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/028230-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/012250-1.pdf,2026-06-13,,122
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/053230-3.pdf,2026-06-13,,40
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/001240-1.pdf,2026-06-13,,4
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/002240-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/043240-1.pdf,2026-06-13,,10
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/067230-1.pdf,2026-06-13,,9
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/063230-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/014230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/026230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/001230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/036230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/052230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/057230-1.pdf,2026-06-13,,14
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/077230-3.pdf,2026-06-13,,14
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/070230-1.pdf,2026-06-13,,11
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/007240-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/046220-3.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/036240-3.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/041240-1.pdf,2026-06-13,,118
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/049220-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/015250-1.pdf,2026-06-13,,77
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/022230-1.pdf,2026-06-13,,95
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/021250-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/041250-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/005240-3.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/033250-1.pdf,2026-06-13,,10
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/032240-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/028240-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/045240-1.pdf,2026-06-13,,22
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/070230-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/039230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/026250-2.pdf,2026-06-13,,10
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/031230-1.pdf,2026-06-13,,99
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/006240-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/066230-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/035230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/006260-1.pdf,2026-06-13,,279
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/020230-1.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/074230-3.pdf,2026-06-13,,14
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/011230-1.pdf,2026-06-13,,133
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/038230-1.pdf,2026-06-13,,100
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/029240-2.pdf,2026-06-13,,1
